x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392,x393,x394,x395,x396,x397,x398,x399,x400,x401,x402,x403,x404,x405,x406,x407,x408,x409,x410,x411,x412,x413,x414,x415,x416,x417,x418,x419,x420,x421,x422,x423,x424,x425,x426,x427,x428,x429,x430,x431,x432,x433,x434,x435,x436,x437,x438,x439,x440,x441,x442,x443,y
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,1,9,0,0,1,0,0,0,0,0,1221,0,1,0,0,1,0,0,1,9,0,1,0,1,0,0,1,1,0,0,1,0,0,1601,1,0,1,0,0,1221,0,0,1,0,0,1,0,0,0,1,0,1,0,16109,0,0,1,0,0,0,1,0,1,0,0,3,0,0,3,0,0,0,0,0,11,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,350,0,0,20,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,242726,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,33200,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,15,0,1,4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,350,0,0,1,1,0,1,14509,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,259817,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,25,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,1,0,5,0,0,1,0,0,259817,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,259817,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,242726,1,0,16691,1,0,0,0,3,742,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,1,1,0,0,9,0,0,1,0,0,0,0,0,632,0,1,0,0,1,0,0,1,4,0,2,1,0,0,0,1,1,0,0,1,0,0,937,0,1,1,0,0,632,0,0,1,0,0,1,0,1,0,1,0,1,1,12773,0,0,1,0,0,0,1,0,1,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0,1,1,1,0,0,0,0,1,55,0,0,13,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,92441,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,16400,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,4013,0,0,1,0,2,1,0,0,0,15,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,55,0,0,1,1,0,1,12773,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,100081,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,18,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,5,0,0,1,0,0,100081,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,100081,0,0,0,1,0,0,0,4013,0,0,0,250,0,1,0,0,3,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,96454,1,0,3627,1,0,0,0,3,730,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6,0,1,0,0,0,0,0,1,4,0,2,11,0,0,1,0,0,0,0,0,2695,0,1,0,0,0,1,0,1,8,0,3,1,0,0,0,1,0,1,0,1,0,0,4389,0,1,0,1,0,2695,0,0,1,0,0,1,0,0,0,1,0,1,3,596346,0,0,0,0,0,0,1,0,1,0,0,6,0,0,6,0,2,0,0,0,11,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,1,298,0,0,10,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,93790,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,777100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,31459,0,0,1,0,5,0,1,0,0,13,0,5,2,3,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,298,0,0,1,0,0,1,97137,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,306003,0,3,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,1,1,0,0,1,0,1,919,0,0,0,9,0,0,1,3,0,306003,1,0,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,31459,0,306003,0,0,0,1,0,0,0,31459,0,0,0,919,0,0,1,0,6,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,125249,1,0,29963,1,0,0,0,6,736,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,1,1,0,2,0,1,0,1,0,1,0,0,539,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,12883,0,0,0,0,0,0,1,1,0,0,0,3,0,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,140,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,18400,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,8602,0,0,1,0,3,0,1,2,0,5,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,140,0,0,1,1,0,1,12883,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,14119,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1,399,0,0,0,4,0,0,1,2,0,14119,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,8602,0,14119,0,0,0,1,0,0,0,8602,2,0,0,399,0,0,1,0,3,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,208,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,8602,1,0,5517,1,0,0,0,3,720,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,1,26,0,0,1,0,0,0,0,0,1377,0,1,0,0,1,0,0,1,7,0,2,0,1,0,0,1,0,1,0,1,0,0,1472,1,0,1,0,0,1377,0,0,1,0,0,1,0,0,0,1,0,1,1,30343,0,0,0,0,0,0,1,0,1,0,0,5,0,0,4,0,1,0,0,0,14,0,0,0,0,0,10,1,0,0,1,1,0,0,0,0,0,1,95,0,0,43,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,225784,0,1,0,0,0,1,4,0,0,1,0,0,0,4,0,4,0,1,0,0,0,0,0,37100,0,1,0,1,6,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,40,0,2,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,95,0,0,1,0,0,1,30343,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,232541,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,7,2,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,8,8,0,1,1,0,1,0,0,1,0,0,0,0,6,0,0,1,12,0,232541,1,0,8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,232541,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,225784,1,0,6757,1,0,0,0,3,782,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,670,0,1,0,0,1,0,0,1,4,0,1,1,0,0,1,0,1,0,0,1,0,0,745,1,0,1,0,0,670,0,0,1,0,0,1,0,0,0,1,0,1,0,8613,0,0,5,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,75,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,26399,0,1,0,2,0,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,11500,0,1,0,1,0,1,0,0,0,1,0,2,0,0,7,0,1,1,0,7,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,3,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,75,0,0,1,0,0,1,8613,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,29286,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,7,0,3,0,0,1,0,0,29286,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,29286,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,1,0,1,0,5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,26399,1,0,2887,1,0,0,2,1,808,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,0,0,1,0,0,0,1,0,1,0,1,0,0,1085,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,22970,0,0,0,0,0,0,1,1,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,0,4411,5,0,0,0,1,0,0,0,0,0,0,1,310,0,0,12,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,35500,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,31500,0,0,1,0,3,0,1,0,0,7,0,1,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,310,0,0,1,1,0,1,22970,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1,0,44030,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,111,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,1,0,1,240,0,0,0,8,0,0,1,0,0,44030,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,11461,0,44030,0,0,0,1,0,0,0,31500,0,0,0,775,0,0,1,0,6,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,31500,0,1,12530,1,0,0,0,3,712,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,1,17,0,0,1,0,0,0,0,0,437,0,1,0,0,0,1,0,1,7,0,18,1,0,0,0,1,0,1,0,1,0,0,1598,0,1,0,1,0,437,0,0,1,0,0,1,0,0,0,1,0,1,6,24803,0,0,0,0,0,0,1,0,1,0,0,7,0,0,7,0,2,0,0,0,5,0,0,0,0,14714,0,1,0,0,1,7,0,0,0,0,0,1,181,0,0,23,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,80426,0,1,0,0,0,1,8,0,0,1,0,0,0,2,1,7,0,0,1,0,0,0,0,31300,0,1,0,1,5,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,75196,0,0,1,0,3,0,1,0,0,25,0,0,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,181,0,0,1,1,0,1,24803,1,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,162119,0,14,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,10,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,36,0,0,1,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0,0,6,0,0,0,0,0,1,15,1,0,1,1,0,0,1,0,1,802,0,0,0,13,0,0,1,16,0,162119,1,0,10,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,49775,0,162119,0,0,0,1,0,0,0,75196,0,0,0,980,0,0,1,0,7,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,1,155622,0,1,6497,1,0,0,0,6,694,2,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,0,2,1,0,0,0,1,0,1,0,1,0,0,794,0,1,0,1,0,0,0,0,1,0,0,1,0,5,0,1,0,1,1,50363,0,0,1,0,0,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0,9,1,4,3,0,0,2,0,3,0,1,1,0,0,0,0,0,1,104,0,0,10,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,4,1,0,5,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,1,60900,1,0,0,1,0,1,0,1,0,1,0,1,0,0,5,0,2,1,0,5,0,0,1,0,1,5,0,0,0,0,1,10366,0,0,1,0,2,0,1,0,0,7,0,2,5,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,104,0,0,1,0,0,1,50363,1,0,0,0,0,0,3,1,0,0,0,2,0,1,0,1,0,22890,0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,0,0,0,4,0,0,1,0,0,4,1,0,1,0,0,0,1,16,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,690,0,5,0,6,0,0,1,1,0,22890,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,3,0,1,3,0,0,10366,3,22890,0,0,0,1,0,0,0,10366,0,0,0,690,1,0,1,0,3,0,0,1,0,1,3,0,1,1,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,1,10366,1,0,12524,0,1,3,0,3,773,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,11,0,1,0,0,1,0,1,0,1,0,0,675,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,5,47987,0,0,0,0,0,0,1,1,0,0,0,8,0,0,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,201,0,0,17,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,2,0,8,0,0,1,0,0,0,0,54400,1,0,0,1,7,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,1,13661,0,0,1,0,3,0,1,0,0,24,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,201,0,0,1,4,0,1,47987,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,20483,0,10,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,5,6,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,11,3,0,0,1,0,0,1,0,1,301,0,0,0,11,0,0,1,10,0,20483,1,0,7,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,9647,0,20483,0,0,0,1,0,0,0,13661,0,0,0,474,0,0,1,0,4,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,13661,1,0,6822,1,0,0,0,8,704,2,1
